Band name and centre wavelength (nm),Bands_sand_meanSRF,Bands_seaweed_meanSRF,Bands_rocks_meanSRF
Band 2 - 490,0.1383441616812004,0.0331088156131956,0.1521319485786761
Band 3 - 560,0.1679649696450819,0.0369498344826616,0.172807849785115
Band 4 - 665,0.1967147646842671,0.0463355316516177,0.180132294814375
Band 5 - 705,0.2013913597816037,0.051848209998953,0.1787965378860716
Band 6 - 740,0.2063697771440638,0.0602485164453323,0.1789516316131927
Band 7 - 783,0.2106041915053978,0.0742681705963868,0.1793054077430074
Band 8 - 842,0.2108889745246323,0.0994339768886833,0.1764846744299162
Band 8a - 865,0.2104598904707174,0.1171236379571121,0.1741919257807857
Band 11 - 1610,0.2673827246881083,0.2031920416833328,0.1888221091880944
Band 12 - 2190,0.2582131593179424,0.0814036498514831,0.1782954677668758
